company,founders,industry,business_model,round,amount_raised,location,website,market_size,key_factors,deck_pdf_url,deck_embed_url,deck_notes,data_source
Airbnb,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk","Travel, Hospitality, Technology","Online marketplace for lodging; 10% commission on bookings",Angel,$500K,"San Francisco, CA, USA",airbnb.com,"TAM 1.9B+ trips booked worldwide; SAM 532M budget & online trips; SOM 10.6M (from deck)","Craigslist dual-posting growth hack; event-driven adoption (conferences); marketplace with clear take-rate; famously clean 10-slide structure",https://sites.ced.ncsu.edu/design-and-pitch/wp-content/uploads/sites/13/2020/05/Pitch-Example-Air-BnB-PDF.pdf,https://embed.slidebean.com/59f7a29da8d,Direct PDF confirmed (NC State edu host) + Slidebean embed,slidebean + web
Uber,"Garrett Camp, Travis Kalanick","Transportation, Technology","On-demand premium car service; later ride-sharing + delivery",Seed,"~$1.3M (sources vary: $200K–$1.25M)","San Francisco, CA, USA",uber.com,"~$1.3B market projection (SF+NY expansion, best/realistic/worst cases in deck)","25-slide deck; framed against NetJets analogy; 1-click hailing + optimized dispatch; predicted ride-sharing and cheaper cars (Prius) early",,https://embed.slidebean.com/97aeb1d08ab,"Original deck shared by co-founder Garrett Camp via Medium; also hosted on Axios (axios.com/read-the-original-uber-pitch-deck-1513305016...)",slidebean + web
YouTube,"Chad Hurley, Steve Chen, Jawed Karim","Video Streaming, Internet","Ad revenue and subscriptions",Series A,$3.5M,"San Bruno, CA, USA",youtube.com,[extract from deck],"Raised from Sequoia at <10K users; simple ~10-slide deck; early user-generated-content thesis",,https://embed.slidebean.com/F9BkiAkCSg,Slidebean embed; original pitched to Sequoia Capital 2005,slidebean + web
Facebook,Mark Zuckerberg,"Social Media, Technology","Social networking + advertising platform",Angel/early,~$500K (Thiel angel),"Menlo Park, CA, USA",facebook.com,[extract from deck],"Original was a media/ad kit; bet on engagement + growth metrics rather than revenue; strong early retention story",,https://embed.slidebean.com/hr6GUfXhCt,Slidebean embed; original was an Online Marketing Services media kit,slidebean + web
DoorDash,"Tony Xu, Stanley Tang, Andy Fang, Evan Moore","Food Delivery, Technology","On-demand food delivery; commissions + fees",Seed,$2.4M,"San Francisco, CA, USA",doordash.com,[extract from deck],"Traction-led pitch; strong early delivery volume numbers used as core proof; logistics/marketplace model",,https://embed.slidebean.com/rd4q4s99sq,Slidebean embed,slidebean + web
LinkedIn,Reid Hoffman,"Social Media, Networking, Technology","Professional networking; subscriptions + hiring + ads",Series B,$10M,"Sunnyvale, CA, USA",linkedin.com,[extract from deck],"Reid Hoffman publicly released this Series B deck with annotations; network-effects thesis; ""first mover in professional identity""",,https://embed.slidebean.com/J5FjZkJHXb,"Slidebean embed; Hoffman's annotated Series B deck is widely published (reidhoffman.org)",slidebean + web
Buffer,"Joel Gascoigne, Leo Widrich","Social Media, Technology","Social media scheduling; SaaS subscription",Seed,$500K,"San Francisco, CA, USA",buffer.com,[extract from deck],"Founder openly published the exact deck used to raise $500K; traction slide cited by founders as the decisive one",,https://embed.slidebean.com/Qf0fiR04bi,Slidebean embed; Joel Gascoigne open-sourced the real deck on his blog,slidebean + web
Tinder,"Sean Rad, Justin Mateen, Jonathan Badeen","Social Media, Dating","Subscriptions (Tinder+/Gold) + ad revenue",Incubation,~$50M total funding,"West Hollywood, CA, USA",tinder.com,[extract from deck],"Built in IAC Hatch Labs incubator (2012); double-opt-in matching mechanic as core wedge; viral campus growth",,https://embed.slidebean.com/BgEWlFjWQV,Slidebean embed,slidebean + web
Copy.ai,"Paul Yacoubian, Chris Lu","AI, Copywriting, SaaS","AI writing assistant; SaaS subscription",Series A,$11M,"Memphis, TN, USA",copy.ai,[extract from deck],"Raised from Wing, Sequoia, Tiger Global; early GPT-3 wrapper that found strong PMF fast; AI-native GTM",,https://embed.slidebean.com/h03fpmp377,Slidebean embed,slidebean + web
Sololearn,"Yeva Hyusyan, Davit Kocharyan","Ed-tech, Mobile Learning","Freemium coding education; SaaS + partnerships",Series B,$24M,"Founded in Armenia; HQ San Francisco, CA, USA",sololearn.com,[extract from deck],"Armenia-founded edtech; interactive + peer-to-peer learning; large mobile learner base as core traction",,https://embed.slidebean.com/xsa6w0xrwv,Slidebean embed,slidebean + web
